판례내용
"【사례 1】 피고인은 2023. 5. 12. 네이버 '중고나라' 카페에 '아이폰 14 프로 256G 스페이스 블랙 미개봉 판매'라는 글을 게시하였다. 이를 보고 연락한 피해자에게 '지금 대기자가 많으니 선입금하면 바로 편의점 택배로 보내주겠다'고 거짓말하여 120만 원을 송금받았으나, 실제로는 해당 물품을 소지하고 있지 않았으며 대금을 받은 즉시 연락을 끊고 잠적하였다."
"【사례 2】 피고인은 2023. 6. 20. '당근마켓' 앱을 통해 고가의 '디올 새들백'을 판매한다는 허위 게시글을 올렸다. 직거래를 요청하는 피해자에게 '현재 출장 중이라 거제도에 있다. 안전거래를 이용하자'고 제안하며 네이버 페이를 모방한 가짜 안전결제 피싱 링크를 전송하였다. 피해자가 해당 링크에 접속해 결제 대금 250만 원을 입력하자 이를 가로채고 물품을 보내지 않았다."
"【사례 3】 피고인은 2023. 7. 15. '번개장터'에서 '갤럭시 S23 울트라'를 저렴하게 판매한다고 속여 피해자로부터 90만 원을 송금받았다. 익일 택배 운송장 번호를 전송하며 피해자를 안심시켰으나, 실제 배송된 박스 안에는 휴대폰 대신 벽돌과 신문지만 들어있었다. 조사 결과 피고인은 이전에도 동일한 수법으로 수차례 처벌받은 전력이 있는 상습 사기범이었다."
"【사례 4】 피고인은 2023. 8. 05. 유명 아이돌 콘서트 티켓 양도글을 게시하였다. 티켓 인증을 요구하는 피해자에게 타인의 인증샷을 도용하여 전송하고, '입금 즉시 예매번호를 알려주겠다'고 속여 45만 원을 편취하였다. 피고인은 대포통장과 대포폰을 사용하며 추적을 피하려 하였으나 경찰의 계좌 추적을 통해 검거되었다."
"【사례 5】 피고인은 소위 '3자 사기' 수법을 사용하였다. 판매자 A에게는 물건을 살 것처럼 접근하여 계좌번호를 알아내고, 구매자 B에게는 동일한 물건을 싸게 팔 것처럼 접근하여 A의 계좌번호를 알려주었다. B가 A에게 대금을 송금하자, 피고인은 A에게 연락하여 '실수로 돈을 더 보냈으니 차액을 내 계좌로 돌려달라'고 속여 현금을 가로챘다."
"【사례 6】 피고인은 2023. 9. 12. 중고 물품 거래 사이트에 '닌텐도 스위치 OLED 모델 및 타이틀 패키지'를 30만 원에 급매한다는 글을 올렸다. 피해자가 학생임을 알고 '학생이니까 택배비를 빼주겠다'며 친절하게 응대하여 신뢰를 얻은 후 선입금을 유도하였고, 입금 확인 직후 채팅방을 탈퇴하고 어플을 삭제하였다."
"【사례 7】 피고인은 '아이패드 프로 12.9 6세대'를 판매한다며 피해자와 대화하던 중, 실물을 확인하고 싶다는 피해자에게 가짜 신분증 사진과 명함 사진을 전송하였다. '공무원 신분이라 절대 사기 안 친다'고 안심시켜 110만 원을 송금받았으나, 해당 신분증은 온라인에서 습득한 타인의 정보를 도용하여 위조한 것이었다."
"【사례 8】 피고인은 2023. 10. 22. '중고나라'에서 고가의 '소니 미러리스 카메라'를 판매한다고 속여 피해자로부터 180만 원을 편취하였다. 피고인은 피해자가 사기 여부를 확인하기 위해 '더치트' 조회를 요구하자, 사기 피해 정보가 등록되지 않은 타인 명의의 계좌를 빌려 사용하는 치밀함을 보였다."
"【사례 9】 피고인은 유명 브랜드의 '리미티드 에디션 스니커즈'를 정가보다 싸게 판다는 글을 게시하였다. 가품 여부를 걱정하는 피해자에게 정품 영수증과 보증서를 합성한 가짜 이미지를 보여주며 기망하였고, 70만 원을 입금받은 후 택배 발송을 미루다 결국 연락을 두절하였다."
"【사례 10】 피고인은 '번개장터'에서 '전동 킥보드'를 판매한다며 피해자에게 접근하였다. '지금 이삿짐 정리 중이라 오늘 바로 가져가실 분 구한다'며 조급함을 유도하였고, 거리가 멀어 택배 거래를 하겠다는 피해자에게 화물 택배 비용 명목으로 추가 금원을 요구하는 등 총 55만 원을 받아 편취하였다."
